Start Signal,End Signal,Min Rise Delay,Max Rise Delay,Min Fall Delay,Max Fall Delay,Estimated Depth,Mapped Start Signal
A,Y,0.123382932363324,0.3012709056389228,0.0802315597779065,0.2828620473467945,3.0127090563892276,key_in[15]
A,Y,0.0516487735254877,0.1452802225197866,0.0166193851579164,0.1524122399205346,1.4528022251978658,key_in[15]
A,X,0.0930116218704616,0.3326817526736114,0.2292471000141109,0.926035496717681,3.3268175267361135,key_in[15]
B,X,0.0894089688703447,0.3124165459206575,0.2163868034890758,0.8723685909459755,3.124165459206574,_1780_
C_N,X,0.1399414512769174,0.4230068082208464,0.201550018490765,0.9005401124145254,4.230068082208464,_1473_
A1,X,0.137074133701276,0.5300570687957489,0.1910631151815342,0.5797081867515085,5.300570687957489,_1852_
A2,X,0.1340599474931108,0.5011324830282977,0.1745196814237145,0.5489328591496646,5.011324830282977,_1841_
B1,X,0.114011678325304,0.4459880646580585,0.1539482335185444,0.4887322906932554,4.459880646580585,_1864_
B2,X,0.1288869186747178,0.4930537784276776,0.1567807594791677,0.5077766129070758,4.930537784276776,_1843_
C1,X,0.0966950297201161,0.4118457358386331,0.0876365602114486,0.2967909890744059,4.118457358386331,_1854_
A,Y,0.1179149034011572,0.309741352444861,0.0469058347106575,0.1970633989545473,3.09741352444861,key_in[15]
B,Y,0.1023566260721007,0.2646412053292039,0.0379889880305742,0.1568861474027608,2.6464120532920385,_1780_
A1,X,0.0972046082250431,0.3396324428937342,0.1318244439808646,0.3953174843811045,3.3963244289373415,_1852_
A2,X,0.1025860814222046,0.3354104589007082,0.1428597280908304,0.4139035897841271,3.3541045890070817,_1841_
B1,X,0.0726808009348966,0.2477248476468656,0.0818398150190753,0.3233844950022754,2.4772484764686555,_1864_
A,X,0.1378689423870839,0.3995230370729014,0.1200759525797087,0.3370059049433681,3.9952303707290135,key_in[15]
A1,X,0.0902350511518619,0.3333091674781472,0.1339886295395494,0.4215000690003629,3.333091674781472,_1852_
A2,X,0.0847618665913787,0.3259855810890822,0.1259531958825379,0.4154000871969188,3.259855810890822,_1841_
B1,X,0.0811574996844191,0.3159791129295577,0.1129642800164623,0.3961882600795208,3.159791129295577,_1864_
B2,X,0.0681628939251814,0.2756160377937692,0.0928548375582686,0.3445504257205819,2.756160377937692,_1843_
A1_N,X,0.1799684063824947,0.5698752187000643,0.1444318455715256,0.6748818916957425,5.698752187000642,_0995_
A2_N,X,0.1696598742850024,0.5446955818340419,0.1368058066664231,0.6585638887294485,5.4469558183404185,A2_N
B1,X,0.109628753622519,0.3149501304456579,0.1851008704259781,0.6491318777346875,3.149501304456579,_1864_
B2,X,0.1020356883421805,0.295512095380595,0.1619808499845512,0.598366206852985,2.9551209538059497,_1843_
A,Y,0.0474155970962782,0.1258193584931342,0.0227877966002527,0.0981675254982153,1.258193584931342,key_in[15]
A,Y,0.1083251297101351,0.2861040374482678,0.0456700454269967,0.1798653221717428,2.861040374482678,key_in[15]
B,Y,0.0818970123231428,0.2050654981643017,0.0284412397516697,0.089869794705324,2.050654981643017,_1780_
A1,Y,0.1453078809516698,0.3733535808412804,0.0665552007344347,0.2554162509343914,3.733535808412803,_1852_
A2,Y,0.1414364360107953,0.3345004923284141,0.0511472094432464,0.1872845959104489,3.345004923284141,_1841_
B1,Y,0.0857232017966961,0.3106748279903664,0.0448371838459436,0.1695808957923545,3.106748279903664,_1864_
A1,Y,0.1285366433005421,0.3620256696893229,0.0583534626025249,0.2986868059648732,3.6202566968932297,_1852_
A2,Y,0.1174755048711591,0.3344033755665884,0.0460574577623965,0.2248342964333307,3.3440337556658837,_1841_
B1,Y,0.098663226214942,0.2715315271706554,0.0442827835545767,0.2059688866649887,2.7153152717065536,_1864_
B2,Y,0.0800564776019714,0.2298893224186564,0.0334570505769884,0.1729777064989904,2.2988932241865636,_1843_
A1_N,X,0.2542421622970692,0.7483147091565313,0.1883859510598133,0.8604324718483515,7.483147091565312,_0995_
A2_N,X,0.2416326096492372,0.7103055566997021,0.1817074042662985,0.8338539539317383,7.10305556699702,A2_N
B1,X,0.1899416094837029,0.5377353714512136,0.2323262759044182,0.8037917225987791,5.377353714512136,_1864_
B2,X,0.1841402360489648,0.5091612275913966,0.2054287492704446,0.7382619169399943,5.091612275913966,_1843_
A1_N,X,0.2033848008687273,0.6323662883433574,0.1568265700580169,0.7189864462859098,6.323662883433574,_0995_
A2_N,X,0.2095017690849286,0.6519626689717858,0.1561020523694436,0.7708733869430441,6.519626689717858,A2_N
B1,X,0.1315116663904061,0.3651466454776895,0.2021765451168559,0.7081029296677025,3.651466454776895,_1864_
B2,X,0.1441557330974923,0.436383636022697,0.19335568415886,0.7038987369991493,4.363836360226969,_1843_
A,X,0.0966663998430588,0.2651574035391024,0.3978209263501339,1.6644183169484763,2.6515740353910235,key_in[15]
B,X,0.0898784752618433,0.2393997290389609,0.372216962232099,1.556334216663804,2.393997290389609,_1780_
C,X,0.1006978834374593,0.2857439088444699,0.3644002980282771,1.5573387464848951,2.8574390884446985,_1779_
